Date,Day,Holiday,State
1 January 2019,Tuesday,New Yearâ€™s Day,Maharashtra
26 January 2019,Saturday,Republic Day,Maharashtra
21 March 2019,Thursday,Holi,Maharashtra
6 April 2019,Saturday,Gudi Padwa,Maharashtra
1 May 2019,Wednesday,Maharashtra Day,Maharashtra
5 June 2019,Wednesday,Id-ul-Fitr,Maharashtra
15 August 2019,Thursday,Independence Day,Maharashtra
2 September 2019,Monday,Ganesh Chaturthi,Maharashtra
2 October 2019,Wednesday,Mahatma Gandhi Jayanti,Maharashtra
8 October 2019,Tuesday,Dussehra,Maharashtra
27 October 2019,Sunday,Diwali,Maharashtra
25 December 2019,Wednesday,Christmas Festival,Maharashtra
1 January 2019,Tuesday,New Year,Delhi
26 January 2019,Saturday,Republic Day,Delhi
21 March 2019,Thursday,Holi,Delhi
1 May 2019,Wednesday,Labour Day,Delhi
5 June 2019,Wednesday,Id-ul-Fitr,Delhi
15 August 2019,Thursday,Independence Day,Delhi
23 August 2019,Friday,Janmashtami,Delhi
2 October 2019,Wednesday,Mahatma Gandhi Jayanti,Delhi
8 October 2019,Tuesday,Dussehra,Delhi
27 October 2019,Sunday,Diwali,Delhi
11 November 2019,Monday,Guru Nanak Birthday,Delhi
25 December 2019,Wednesday,Christmas Festival,Delhi